"clean_addr","coun_dist","shape_area","shape_leng","type","type_clean","mobile","HIV","kosher","halal","program","address","boro","zip_code","days","snap_activity","coords","bbl","lon","lat","multiple","number","clean_prgm","type1","type_clean1","program1","mobile1","HIV1","kosher1","halal1","snap_activity1","type2","type_clean2","program2","mobile2","HIV2","kosher2","halal2","snap_activity2","type3","type_clean3","program3","mobile3","HIV3","kosher3","halal3","snap_activity3","types"
"1047 AMSTERDAM AVENUE",7,51409604.832,50140.2042375,"SK","Soup Kitchen","No","No","No","No","CATHEDRAL OF ST. JOHN THE DIVINE","1047 AMSTERDAM AVENUE @ W. 112TH ST.","MANHATTAN",10025,"SUN","HRA provides SNAP outreach materials for distribution and posting","-73.961787,40.803767",1018650001,-73.961787,40.803767,"Soup Kitchen",1,"CATHEDRAL OF ST. JOHN THE DIVINE","SK","Soup Kitchen","CATHEDRAL OF ST. JOHN THE DIVINE","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soup Kitchen"
"1048 SUTTER AVE",42,200830591.527,228408.992685,"FP","Food Pantry","No","No","No","No","SECOND ST. PAUL CHURCH OF CHRIST, DISCIPLE OF CHRIST, INC","1048 SUTTER AVE","BROOKLYN",11208,"SAT","HRA provides SNAP outreach materials for distribution and posting","-73.879993,40.671457",3040530020,-73.879993,40.671457,"Food Pantry",1,"SECOND ST. PAUL CHURCH OF CHRIST, DISCIPLE OF CHRIST, INC","FP","Food Pantry","SECOND ST. PAUL CHURCH OF CHRIST, DISCIPLE OF CHRIST, INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"105-47 64TH ROAD",29,120090350.741,57718.2862943,"FPK","Food Pantry","No","No","Yes","No","MASBIA OF QUEENS","105-47 64TH ROAD","QUEENS",11375,"THUR","HRA provides SNAP outreach materials  for distribution and posting","-73.849783,40.732344",4021490001,-73.849783,40.732344,"Multiple Programs",2,"MASBIA OF QUEENS","FPK","Food Pantry","MASBIA OF QUEENS","No","No","Yes","No","HRA provides SNAP outreach materials  for distribution and posting","SKK","Soup Kitchen","MASBIA OF QUEENS","No","No","Yes","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry, Soup Kitchen"
"105-47 64TH ROAD",29,120090350.741,57718.2862943,"SKK","Soup Kitchen","No","No","Yes","No","MASBIA OF QUEENS","105-47 64TH ROAD","QUEENS",11375,"M,TU,W,TH,SUN","HRA provides SNAP outreach materials for distribution and posting","-73.849783,40.732344",4021490001,-73.849783,40.732344,"Multiple Programs",2,"MASBIA OF QUEENS","FPK","Food Pantry","MASBIA OF QUEENS","No","No","Yes","No","HRA provides SNAP outreach materials  for distribution and posting","SKK","Soup Kitchen","MASBIA OF QUEENS","No","No","Yes","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry, Soup Kitchen"
"1077 CONEY ISLAND AVENUE",45,116765202.953,64761.7916128,"FP","Food Pantry","No","No","No","No","COPO FOOD PANTRY","1077 CONEY ISLAND AVENUE","BROOKLYN",11230,"FRI","HRA provides SNAP outreach materials for distribution and posting. FBNYC provides SNAP services via ACCESS NYC.","-73.966217,40.631332",3066860079,-73.966217,40.631332,"Food Pantry",1,"COPO FOOD PANTRY","FP","Food Pantry","COPO FOOD PANTRY","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting. FBNYC provides SNAP services via ACCESS NYC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"108 EAST 51ST STREET",4,70494165.4603,72266.5459665,"SKM","Soup Kitchen","Yes","No","No","No","COALITION FOR THE HOMELESS","108 EAST 51ST STREET","MANHATTAN",10022,"MON-FRI","On site SNAP prescreening services/refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)","-73.973002,40.757214",1013050001,-73.973002,40.757214,"Soup Kitchen",1,"COALITION FOR THE HOMELESS","SKM","Soup Kitchen Mobile","COALITION FOR THE HOMELESS","Yes","No","No","Yes","On site SNAP prescreening services/refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soup Kitchen Mobile"
"108-02 SUTPHIN BLVD",28,243582123.793,115755.295075,"FP","Food Pantry","No","No","No","No","CHRIST APOSTOLIC CHURCH OF AMERICA, INC","108-02 SUTPHIN BLVD","QUEENS",11435,"SAT","On site SNAP prescreening services/refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)","-73.799505,40.692814",4119460119,-73.799505,40.692814,"Food Pantry",1,"CHRIST APOSTOLIC CHURCH OF AMERICA, INC","FP","Food Pantry","CHRIST APOSTOLIC CHURCH OF AMERICA, INC","No","No","No","No","On site SNAP prescreening services/refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"108-25 62ND DRIVE",29,120090350.741,57718.2862943,"FP","Food Pantry","No","No","No","No","FOREST HILLS SENIORS CENTER","108-25 62ND DRIVE","QUEENS",11375,"THUR(2,3,4,5)/W (LAST)","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.85009,40.736296",4021590002,-73.85009,40.736296,"Food Pantry",1,"FOREST HILLS SENIORS CENTER","FP","Food Pantry","FOREST HILLS SENIORS CENTER","No","No","No","No","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1089 CLARKSON AVE",41,78156814.9694,57718.3766762,"FP","Food Pantry","No","No","No","No","BROWNSVILLE TEMPLE SDA CHURCH","1089 CLARKSON AVE","BROOKLYN",11212,"SUN (1,3)","HRA provides SNAP outreach materials for distribution and posting","-73.922276,40.660042",3046300043,-73.922276,40.660042,"Food Pantry",1,"BROWNSVILLE TEMPLE SDA CHURCH","FP","Food Pantry","BROWNSVILLE TEMPLE SDA CHURCH","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"109-14 FARMERS BLVD",27,221755997.048,82516.6550754,"FP","Food Pantry","No","No","No","No","GOSPEL ASSEMBLY - QUEENS","109-14 FARMERS BLVD","QUEENS",11412,"SAT","HRA provides SNAP outreach mateirals for distribution and posting","-73.766943,40.703563",4103790056,-73.766943,40.703563,"Food Pantry",1,"GOSPEL ASSEMBLY - QUEENS","FP","Food Pantry","GOSPEL ASSEMBLY - QUEENS","No","No","No","No","HRA provides SNAP outreach mateirals for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"109-74 SUTPHIN BLVD",28,243582123.793,115755.295075,"FP","Food Pantry","No","No","No","No","BLANCHE MEMORIAL CHURCH","109-74 SUTPHIN BLVD","QUEENS",11435,"TUE","HRA provides SNAP outreach materials for distribution and posting","-73.797113,40.690001",4119500396,-73.797113,40.690001,"Food Pantry",1,"BLANCHE MEMORIAL CHURCH","FP","Food Pantry","BLANCHE MEMORIAL CHURCH","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"11 WOODS PLACE",40,62693961.5363,42775.1460013,"FP","Food Pantry","No","No","No","No","MORE GRACE REDEMPTIVE CENTER","11 WOODS PLACE","BROOKLYN",11226,"TUE","HRA provides SNAP outreach materials for distribution and posting","-73.954578,40.650138",3051040110,-73.954578,40.650138,"Food Pantry",1,"MORE GRACE REDEMPTIVE CENTER","FP","Food Pantry","MORE GRACE REDEMPTIVE CENTER","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1101 BOSTON ROAD",16,57831138.393,70414.2736417,"FP","Food Pantry","No","No","No","No","MANNA OF LIFE MINISTRIES, INC","1101 BOSTON ROAD","BRONX",10456,"TUE,THU,SAT","HRA provides SNAP outreach materials for distribution and posting","-73.904936,40.827546",2026130040,-73.904936,40.827546,"Multiple Programs",2,"MANNA OF LIFE MINISTRIES, INC","FP","Food Pantry","MANNA OF LIFE MINISTRIES, INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting","SKM","Soup Kitchen Mobile","MANNA OF LIFE MINISTRIES, INC","Yes","No","No","Yes","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry, Soup Kitchen Mobile"
"1101 BOSTON ROAD",16,57831138.393,70414.2736417,"SKM","Soup Kitchen","Yes","No","No","No","MANNA OF LIFE MINISTRIES, INC","1101 BOSTON ROAD","BRONX",10456,"SAT","HRA provides SNAP outreach materials for distribution and posting","-73.904936,40.827546",2026130040,-73.904936,40.827546,"Multiple Programs",2,"MANNA OF LIFE MINISTRIES, INC","FP","Food Pantry","MANNA OF LIFE MINISTRIES, INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting","SKM","Soup Kitchen Mobile","MANNA OF LIFE MINISTRIES, INC","Yes","No","No","Yes","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry, Soup Kitchen Mobile"
"1104 ELDER AVENUE",18,106383419.754,62147.9487384,"FP","Food Pantry","No","No","No","No","LOST SHEEP CHRISTIAN CHURCH/FEED MY SHEEP COMMUNITY PANTRY","1104 ELDER AVENUE #15","BRONX",10472,"SAT","HRA provides SNAP outreach materials  for distribution and posting","-73.878362,40.826467",2037400005,-73.878362,40.826467,"Food Pantry",1,"LOST SHEEP CHRISTIAN CHURCH/FEED MY SHEEP COMMUNITY PANTRY","FP","Food Pantry","LOST SHEEP CHRISTIAN CHURCH/FEED MY SHEEP COMMUNITY PANTRY","No","No","No","No","HRA provides SNAP outreach materials  for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"111-16 173RD STREET",27,221755997.048,82516.6550754,"FP","Food Pantry","No","No","No","No","V.E.T.S. INC","111-16 173RD STREET","QUEENS",11433,"FRI","HRA maintains oversight of a SNAP POS site:  SNAP prescreening and electronic transmission of SNAP applications and documents/ ACCESS NYC  site","-73.779458,40.694786",4102820125,-73.779458,40.694786,"Food Pantry",1,"V.E.T.S. INC","FP","Food Pantry","V.E.T.S. INC","No","No","No","No","HRA maintains oversight of a SNAP POS site:  SNAP prescreening and electronic transmission of SNAP applications and documents/ ACCESS NYC  site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"111-54 MERRICK BLVD",27,221755997.048,82516.6550754,"FP","Food Pantry","No","No","No","No","ALLEN OUTREACH MINISTRY FEEDING PROGRAM","111-54 MERRICK BLVD","QUEENS",11433,"THUR","HRA provides SNAP outreach materials for distribution and posting / SNAP Outreach provided by EA 2Xs year.","-73.780746,40.693042",4102080001,-73.780746,40.693042,"Food Pantry",1,"ALLEN OUTREACH MINISTRY FEEDING PROGRAM","FP","Food Pantry","ALLEN OUTREACH MINISTRY FEEDING PROGRAM","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting / SNAP Outreach provided by EA 2Xs year.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"114 EAST 188TH STREET",14,51648156.0501,48429.4566604,"FP","Food Pantry","No","No","No","No","CRESTON AVENUE BAPTIST CHURCH, INC","114 EAST 188TH STREET","BRONX",10468,"MON,WED,FRI","HRA provides SNAP outreach materials for distribution and posting","-73.899154,40.861696",2031730036,-73.899154,40.861696,"Multiple Programs",2,"CRESTON AVENUE BAPTIST CHURCH, INC","FP","Food Pantry","CRESTON AVENUE BAPTIST CHURCH, INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting","SK","Soup Kitchen","CRESTON AVENUE BAPTIST CHURCH OF CHRIST, INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry, Soup Kitchen"
"114 EAST 188TH STREET",14,51648156.0501,48429.4566604,"SK","Soup Kitchen","No","No","No","No","CRESTON AVENUE BAPTIST CHURCH OF CHRIST, INC","114 EAST 188TH STREET","BRONX",10468,"SAT","HRA provides SNAP outreach materials for distribution and posting","-73.899154,40.861696",2031730036,-73.899154,40.861696,"Multiple Programs",2,"CRESTON AVENUE BAPTIST CHURCH, INC","FP","Food Pantry","CRESTON AVENUE BAPTIST CHURCH, INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting","SK","Soup Kitchen","CRESTON AVENUE BAPTIST CHURCH OF CHRIST, INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry, Soup Kitchen"
"114-12 VAN WYCK EXPRESSWAY",28,243582123.793,115755.295075,"FP","Food Pantry","No","No","No","No","LEVITICUS CHURCH","114-12 VAN WYCK EXPRESSWAY","QUEENS",11420,"WED/SAT","HRA provides SNAP outreach materials for distribution and posting","-73.806276,40.682327",4116610011,-73.806276,40.682327,"Food Pantry",1,"LEVITICUS CHURCH","FP","Food Pantry","LEVITICUS CHURCH","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1151 BUSHWICK AVENUE",34,104616990.005,84319.0251216,"SK","Soup Kitchen","No","No","No","No","THE SALVATION ARMY BUSHWICK CORPS","1151 BUSHWICK AVENUE","BROOKLYN",11221,"M,TU,TH,FRI","On site SNAP prescreening and application assistance services/ FBNYC TEN site (vendor contracted by HRA)","-73.917276,40.689296",3033740001,-73.917276,40.689296,"Multiple Programs",2,"THE SALVATION ARMY BUSHWICK CORPS","SK","Soup Kitchen","THE SALVATION ARMY BUSHWICK CORPS","No","No","No","No","On site SNAP prescreening and application assistance services/ FBNYC TEN site (vendor contracted by HRA)","FP","Food Pantry","THE SALVATION ARMY BUSHWICK CORPS","No","No","No","No","On site SNAP prescreening and application assistance services/ FBNYC TEN site (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,"Soup Kitchen, Food Pantry"
"1151 BUSHWICK AVENUE",34,104616990.005,84319.0251216,"FP","Food Pantry","No","No","No","No","THE SALVATION ARMY BUSHWICK CORPS","1151 BUSHWICK AVENUE","BROOKLYN",11221,"M,TU,TH,FRI","On site SNAP prescreening and application assistance services/ FBNYC TEN site (vendor contracted by HRA)","-73.917276,40.689296",3033740001,-73.917276,40.689296,"Multiple Programs",2,"THE SALVATION ARMY BUSHWICK CORPS","SK","Soup Kitchen","THE SALVATION ARMY BUSHWICK CORPS","No","No","No","No","On site SNAP prescreening and application assistance services/ FBNYC TEN site (vendor contracted by HRA)","FP","Food Pantry","THE SALVATION ARMY BUSHWICK CORPS","No","No","No","No","On site SNAP prescreening and application assistance services/ FBNYC TEN site (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,"Soup Kitchen, Food Pantry"
"116 6TH AVENUE",39,116496927.91,73679.7115105,"FP","Food Pantry","No","No","No","No","ST. AUGUSTINE'S CHURCH","116 6TH AVENUE","BROOKLYN",11217,"SAT","On site SNAP prescreening services/refers applicants to 5th Avenue Community Center for application assistance","-73.976096,40.678672",3009410030,-73.976096,40.678672,"Food Pantry",1,"ST. AUGUSTINE'S CHURCH","FP","Food Pantry","ST. AUGUSTINE'S CHURCH","No","No","No","No","On site SNAP prescreening services/refers applicants to 5th Avenue Community Center for application assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1168 FRANKLIN AVENUE",16,57831138.393,70414.2736417,"FP","Food Pantry","No","No","No","No","ST. AUGUSTINE FOOD PANTRY","1168 FRANKLIN AVENUE","BRONX",10456,"MON/THUR","HRA provides SNAP outreach materials  for distribution and posting","-73.904373,40.829146",2026140001,-73.904373,40.829146,"Food Pantry",1,"ST. AUGUSTINE FOOD PANTRY","FP","Food Pantry","ST. AUGUSTINE FOOD PANTRY","No","No","No","No","HRA provides SNAP outreach materials  for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1170 PENNSYLVANIA AVE",42,200830591.527,228408.992685,"FPK","Food Pantry","No","No","Yes","No","JEWISH COMMUNITY COUNCIL OF CANARSIE   #1","1170 PENNSYLVANIA AVE","BROOKLYN",11239,"WED","SNAP outreach conducted by onsite staff","-73.885804,40.651464",3044340060,-73.885804,40.651464,"Food Pantry",1,"JEWISH COMMUNITY COUNCIL OF CANARSIE   #1","FPK","Food Pantry","JEWISH COMMUNITY COUNCIL OF CANARSIE   #1","No","No","Yes","No","SNAP outreach conducted by onsite staff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1175 BOSTON ROAD",16,57831138.393,70414.2736417,"FP","Food Pantry","No","No","No","No","NEW CONVENANT COMMUNITY DEVELOPMENT CORP","1175 BOSTON ROAD","BRONX",10456,"TUE/THUR","On site SNAP outreach services provided by organization. SNAP Outreach services provided by on site staff members.","-73.903414,40.829033",2026140043,-73.903414,40.829033,"Food Pantry",1,"NEW CONVENANT COMMUNITY DEVELOPMENT CORP","FP","Food Pantry","NEW CONVENANT COMMUNITY DEVELOPMENT CORP","No","No","No","No","On site SNAP outreach services provided by organization. SNAP Outreach services provided by on site staff members.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"12 WEST 11TH STREET",3,82514825.7584,92788.6218166,"FP","Food Pantry","No","No","No","No","ASCENSION OUTREACH, INC","12 WEST 11TH STREET","MANHATTAN",10011,"SAT(2ND,4TH)","HRA provides SNAP outreach materials for distribution and posting","-73.995773,40.734109",1005740038,-73.995773,40.734109,"Food Pantry",1,"ASCENSION OUTREACH, INC","FP","Food Pantry","ASCENSION OUTREACH, INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"120 EAST 184TH STREET",14,51648156.0501,48429.4566604,"FP","Food Pantry","No","No","No","No","POWER PRAISE AND DELIVERANCE, INC","120 EAST 184TH STREET","BRONX",10468,"FRI","HRA provides SNAP outreach materials for distribution and posting","-73.900472,40.859425",2031720046,-73.900472,40.859425,"Food Pantry",1,"POWER PRAISE AND DELIVERANCE, INC","FP","Food Pantry","POWER PRAISE AND DELIVERANCE, INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"120 EAST 32ND STREET",2,47497703.9198,48548.8392127,"SK","Soup Kitchen","No","No","No","No","GRAND CENTRAL NEIGHBORHOOD SOCIAL SERVICE CORP.","120 EAST 32ND STREET","MANHATTAN",10016,"MON-SUN","SNAP outreach services provided by on site staff","-73.981468,40.745206",1008870087,-73.981468,40.745206,"Soup Kitchen",1,"GRAND CENTRAL NEIGHBORHOOD SOCIAL SERVICE CORP.","SK","Soup Kitchen","GRAND CENTRAL NEIGHBORHOOD SOCIAL SERVICE CORP.","No","No","No","No","SNAP outreach services provided by on site staff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soup Kitchen"
"120 TOMPKINS AVE",36,76221712.333,42153.1812083,"FP","Food Pantry","No","No","No","No","SOLID ROCK BAPTIST CHURCH","120 TOMPKINS AVE","BROOKLYN",11206,"MON,THUR","HRA provides SNAP outreach materials  for distribution and posting","-73.946621,40.695093",3017550046,-73.946621,40.695093,"Food Pantry",1,"SOLID ROCK BAPTIST CHURCH","FP","Food Pantry","SOLID ROCK BAPTIST CHURCH","No","No","No","No","HRA provides SNAP outreach materials  for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
