"type","type_clean","mobile","HIV","kosher","halal","program","address","clean_addr","boro","zip_code","days","snap_activity","coords","bbl","lat","lon"
"FP","Food Pantry","No","No","No","No","BASILICA OF OUR LADY OF PERPETUAL HELP","545 60TH STREET","545 60TH STREET","BROOKLYN","11220","SAT (1,2)(SEE FILES)","HRA provides SNAP outreach materials for distribution and posting","-74.014313,40.639058","3008640001",40.639058,-74.014313
"FP","Food Pantry","No","No","No","No","BAY VIEW HOUSES RESIDENT ASSOCIATION","2085 ROCKAWAY PARKWAY","2085 ROCKAWAY PARKWAY","BROOKLYN","11236","THUR","HRA provides SNAP outreach materials for distribution and posting","-73.886758,40.633094","3083290225",40.633094,-73.886758
"FP","Food Pantry","No","No","No","No","BEDFORD CENTRAL PRESBYTERIAN CHURCH","1200 DEAN STREET","1200 DEAN STREET","BROOKLYN","11216","THUR(1ST,2ND)","HRA provides SNAP outreach materials for distribution and posting","-73.949564,40.676556","3012130005",40.676556,-73.949564
"FP","Food Pantry","No","No","No","No","BENNY'S FOOD PANTRY AT CITY COLLEGE","160 CONVENT AVE, HOFFMAN LOUNGE","160 CONVENT AVE","MANHATTAN","10031","MON-FRI","New site, Coordinating future SNAP outreach services","-73.950864,40.819831","1019570200",40.819831,-73.950864
"FPK","Food Pantry","No","No","Yes","No","BENSONHURST COUNCIL OF JEWISH ORGANIZATIONS","8635 21ST AVE","8635 21ST AVE","BROOKLYN","11214","TUE","On site SNAP application assistance/ HRA coordinates  with Met Council","-73.996598,40.60238","3063780019",40.60238,-73.996598
"FP","Food Pantry","No","No","No","No","BERACA SEVENTH DAY ADVENTIST CHURCH","91-19 191 STREET","91-19 191 STREET","QUEENS","11423","WED","SNAP services provided by outside organization","-73.767972,40.712058","4108200023",40.712058,-73.767972
"FP","Food Pantry","No","No","No","No","BETH HARK CHRISTIAN COUNSELING CENTER","1832 MADISON AVE @120 ST","1832 MADISON AVE","MANHATTAN","10035","TUE/THUR","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.943801,40.802483","1017460002",40.802483,-73.943801
"SK","Soup Kitchen","No","No","No","No","BETH HARK CHRISTIAN COUNSELING CENTER","1832 MADISON AVENUE","1832 MADISON AVENUE","MANHATTAN","10035","WED,THUR","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.943801,40.802483","1017460002",40.802483,-73.943801
"FP","Food Pantry","No","No","No","No","BETHANIE FRENCH SEVENTH-DAY ADVENTIST CHURCH","2059 BEDFORD AVENUE","2059 BEDFORD AVENUE","BROOKLYN","11226","FRI (2,4)","HRA provides SNAP outreach materials for distribution and posting.","-73.955831,40.654492","3050650011",40.654492,-73.955831
"FP","Food Pantry","No","No","No","No","BETHANY PANTRY","48-08 91ST PLACE (ELMHURST)","48-08 91ST PLACE","QUEENS","11373","SAT (3RD)","HRA provides SNAP outreach materials for distribution and posting","-73.873126,40.741453","4018500010",40.741453,-73.873126
"SK","Soup Kitchen","No","No","No","No","BETHANY UNITED METHODIST CHURCH","1208 ST. JOHN'S PLACE","1208 ST. JOHN'S PLACE","BROOKLYN","11213","TUE","HRA provides SNAP outreach materials for distribution and posting. SNAP outreach services provided by on site staff.","-73.938269,40.670631","3013820020",40.670631,-73.938269
"FP","Food Pantry","No","No","No","No","BETHEL AME CHURCH","54-60 WEST 132ND STREET","54 WEST 132ND STREET","MANHATTAN","10037","THUR","New site, Coordinating future SNAP outreach services","-73.941109,40.81146","1017290058",40.81146,-73.941109
"FP","Food Pantry","No","No","No","No","BETHEL AME CHURCH/BETHEL ARVERNE COMM.","215 BEACH 77TH STREET","215 BEACH 77TH STREET","QUEENS","11692","THUR","HRA provides SNAP outreach materials for distribution and posting. SNAP outreach provided by on site staff. FBNYC TEN site.","-73.804624,40.588813","4161110025",40.588813,-73.804624
"FP","Food Pantry","No","No","No","No","BETH-EL HOUSE OF YAHWEH","3482 PARK AVENUE","3482 PARK AVENUE","BRONX","10456","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.908151,40.830831","2023890011",40.830831,-73.908151
"FP","Food Pantry","No","No","No","No","BETHEL SEVENTH-DAY ADVENTIST CHURCH","457 GRAND AVENUE","457 GRAND AVENUE","BROOKLYN","11238","WED","HRA provides SNAP outreach materials for distribution and posting","-73.961156,40.681696","3020150001",40.681696,-73.961156
"SK","Soup Kitchen","No","No","No","No","BETHEL SEVENTH-DAY ADVENTIST CHURCH","457 GRAND AVENUE","457 GRAND AVENUE","BROOKLYN","11238","SUN","HRA provides SNAP outreach materials for distribution and posting","-73.961156,40.681696","3020150001",40.681696,-73.961156
"FP","Food Pantry","No","No","No","No","BEULAH CHURCH OF GOD IN CHRIST JESUS","956 MARCY AVENUE","956 MARCY AVENUE","BROOKLYN","11216","TUE,THUR","HRA provides SNAP outreach materials for distribution and posting","-73.946632,40.680617","3018500032",40.680617,-73.946632
"FP","Food Pantry","No","No","No","No","BLACK VETERAN'S FOR SOCIAL JUSTICE","665 WILLOUGHBY AVENUE","665 WILLOUGHBY AVENUE","BROOKLYN","11206","FRI (2ND,4TH)","HRA provides SNAP outreach materials for distribution and posting","-73.942602,40.694898","3017610066",40.694898,-73.942602
"FP","Food Pantry","No","No","No","No","BLANCHE MEMORIAL CHURCH","109-74 SUTPHIN BLVD","109-74 SUTPHIN BLVD","QUEENS","11435","TUE","HRA provides SNAP outreach materials for distribution and posting","-73.797113,40.690001","4119500396",40.690001,-73.797113
"FP","Food Pantry","No","No","No","No","BLESSED ASSURANCE CHURCH OF GOD BLESSED ASSURANCE CHARITY INC","2093 FULTON STREET","2093 FULTON STREET","BROOKLYN","11233","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.90932,40.678422","3015420053",40.678422,-73.90932
"FP","Food Pantry","No","No","No","No","BLESSED SACRAMENT CHURCH (BKLYN)","198 EUCLID AVENUE","198 EUCLID AVENUE","BROOKLYN","11208","WED","HRA provides SNAP outreach materials for distribution and posting","-73.874721,40.683703","3041280044",40.683703,-73.874721
"FP","Food Pantry","No","No","No","No","BNAI RAPHAEL CHESED ORGANIZATION, INC.","3846 FLATLANDS AVE","3846 FLATLANDS AVE","BROOKLYN","11234","M/TUE, WED/THUR","SNAP outreach provided by on site staff","-73.937501,40.619554","3078580047",40.619554,-73.937501
"FPH","Food Pantry","No","No","No","Yes","BOOM! HEALTH","3144 3RD AVE","3144 3RD AVE","BRONX","10451","MON - FRI","HRA provides SNAP outreach materials for distribution and posting","-73.910556,40.822121","2023600089",40.822121,-73.910556
"FP","Food Pantry","No","No","No","No","BRIGHT TEMPLE A.M.E. CHURCH/PROJECT F.I.L.L.","812 FAILE STREET","812 FAILE STREET","BRONX","10474","FRI (1,3)","HRA provides SNAP outreach materials for distribution and posting","-73.886869,40.817236","2027620072",40.817236,-73.886869
"FP","Food Pantry","No","No","No","No","BROADWAY COMMUNITY","601 WEST 114TH ST","601 WEST 114TH ST","MANHATTAN","10025","MON, SAT (4)","HRA provides SNAP outreach materials for distribution and posting","-73.965197,40.807085","1018960020",40.807085,-73.965197
"SK","Soup Kitchen","No","No","No","No","BROADWAY COMMUNITY","601 WEST 114TH ST","601 WEST 114TH ST","MANHATTAN","10025","M,W,F","HRA provides SNAP outreach materials for distribution and posting","-73.965197,40.807085","1018960020",40.807085,-73.965197
"FP","Food Pantry","No","No","No","No","BRONX BETHANY COMMUNITY CORPORATION","971 EAST 227TH STREET","971 EAST 227TH STREET","BRONX","10466","WED(1,2,3,4)","On site prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.851237,40.886801","2048630006",40.886801,-73.851237
"FP","Food Pantry","No","No","No","No","BRONX COMMUNITY COLLEGE FP","2155 UNIVERSITY AVENUE - ROOMS 120","2155 UNIVERSITY AVENUE","BRONX","10453","MON-FRI","HRA provides SNAP outreach materials for distribution and posting","-73.909638,40.857967","2032170060",40.857967,-73.909638
"FP","Food Pantry","No","No","No","No","BRONX SEVENTH DAY ADVENTIST CHURCH","1695 WASHINGTON AVENUE","1695 WASHINGTON AVENUE","BRONX","10457","THUR(1,2,3,4)","On site SNAP prescreening and  application assistance.","-73.901115,40.842205","2029060089",40.842205,-73.901115
"FP","Food Pantry","No","No","No","No","BRONX TEMPLE SDA CHURCH","495 WILLIS AVENUE","495 WILLIS AVENUE","BRONX","10455","TUE,THUR","HRA provides SNAP outreach materials for distribution and posting","-73.918961,40.81505","2023070054",40.81505,-73.918961
"FP","Food Pantry","No","No","No","No","BROOKLYN RESCUE MISSION URBAN HARVEST CENTER INC","919 GATES AVENUE","919 GATES AVENUE","BROOKLYN","11221","TUE,WED,THUR","HRA provides SNAP outreach materials for distribution and posting","-73.929032,40.688874","3016320065",40.688874,-73.929032
"FP","Food Pantry","No","No","No","No","BROOKLYN WEST FAMILY CENTER","191 JORALEMON STREET","191 JORALEMON STREET","BROOKLYN","11201","THUR","HRA provides SNAP outreach materials for distribution and posting","-73.991762,40.692816","3002550008",40.692816,-73.991762
"FP","Food Pantry","No","No","No","No","BROWNSVILLE TEMPLE SDA CHURCH","1089 CLARKSON AVE","1089 CLARKSON AVE","BROOKLYN","11212","SUN (1,3)","HRA provides SNAP outreach materials for distribution and posting","-73.922276,40.660042","3046300043",40.660042,-73.922276
"FP","Food Pantry","No","No","No","No","BVM/ST. MARY'S CHURCH WINFIELD","70-31 48TH AVE (WOODSIDE)","70-31 48TH AVE","QUEENS","11377","THUR","HRA provides SNAP outreach materials for distribution and posting","-73.892859,40.738517","4024450001",40.738517,-73.892859
"FP","Food Pantry","No","No","No","No","CABRINI IMMIGRANT SERVICES OF NEW YORK CITY INC","139 HENRY STREET","139 HENRY STREET","MANHATTAN","10002","TUE","On site SNAP prescreening and application assistance provided by organization","-73.990758,40.713479","1002830016",40.713479,-73.990758
"FP","Food Pantry","No","No","No","No","CALVARY ASSEMBLY OF GOD","4055 RICHMOND AVENUE","4055 RICHMOND AVENUE","STATEN ISLAND","10312","SUN","New site, Coordinating future SNAP outreach services","-74.160423,40.539713","5052680066",40.539713,-74.160423
"FP","Food Pantry","No","No","No","No","CALVARY PENTECOSTAL CHURCH","151 WOODRUFF AVENUE","151 WOODRUFF AVENUE","BROOKLYN","11226","THUR","HRA provides SNAP outreach materials for distribution and posting. SNAP outreach services provided by external organization.","-73.961145,40.654561","3050540062",40.654561,-73.961145
"FP","Food Pantry","No","No","No","No","CALVARY'S MISSION","102-16 89TH AVENUE (RICHMOND HILL)","102-16 89TH AVENUE","QUEENS","11418","THUR / SAT","HRA provides SNAP outreach materials for distribution and posting","-73.843439,40.693079","4092930003",40.693079,-73.843439
"SK","Soup Kitchen","No","No","No","No","CATHEDRAL OF ST. JOHN THE DIVINE","1047 AMSTERDAM AVENUE @ W. 112TH ST.","1047 AMSTERDAM AVENUE","MANHATTAN","10025","SUN","HRA provides SNAP outreach materials for distribution and posting","-73.961787,40.803767","1018650001",40.803767,-73.961787
"FP","Food Pantry","No","No","No","No","CATHOLIC CHARITIES","2866 WEST 17TH STREET","2866 WEST 17TH STREET","BROOKLYN","11224","MON","HRA provides SNAP outreach materials for distribution and posting","-73.985122,40.57722","3070200039",40.57722,-73.985122
"FP","Food Pantry","No","No","No","No","CATHOLIC CHARITIES WASHINGTON HEIGHTS FOOD PANTRY","510 WEST 165TH STREET","510 WEST 165TH STREET","MANHATTAN","10032","THUR","New site, Coordinating future SNAP outreach services","-73.939217,40.837927","1021210029",40.837927,-73.939217
"FP","Food Pantry","No","No","No","No","CENTER FOR FAMILY LIFE","443 39TH STREET","443 39TH STREET","BROOKLYN","11232","MON-THUR","SNAP outreach services provided by organization. Single Stop CBO location. FBNYC TEN SITE.","-74.00477,40.652075","3007050059",40.652075,-74.00477
"FP","Food Pantry","No","No","No","No","CENTER OF HOPE INTERNATIONAL","38-49 12TH STREET (L.I.C.)","38-49 12TH STREET","QUEENS","11101","TUE, THUR,WED","HRA provides SNAP outreach materials for distribution and posting.  Clients are referred to a Facilitated Enrollment location (Urban Upbund-LIC) in Queens.","-73.941831,40.756894","4004720640",40.756894,-73.941831
"SK","Soup Kitchen","No","No","No","No","CENTRAL SYNAGOGUE CARING COMMITTEE","123 EAST 55TH STREET","123 EAST 55TH STREET","MANHATTAN","10022","THUR,FRI","HRA provides SNAP outreach materials for distribution and posting","-73.970536,40.760092","1013100010",40.760092,-73.970536
"FP","Food Pantry","No","No","No","No","CHILD DEVELOPMENT SUPPORT CORPORATION","352-358 CLASSON AVE","352 CLASSON AVE","BROOKLYN","11238","THUR","HRA maintains oversight for a SNAP POS site:  SNAP prescreening and electronic submission of SNAP applications and documents/SNAP recertification services/ EASY ACCESS (for SNAP documents) site","-73.960218,40.688464","3019480035",40.688464,-73.960218
"FP","Food Pantry","No","No","No","No","CHILDREN OF THE LIGHT INTERNATIONAL MINISTRIES INC","9815 AVENUE L","9815 AVENUE L","BROOKLYN","11236","MON,WED,FRI,SAT","HRA provides SNAP outreach materials for distribution and posting","-73.893849,40.639858","3082440001",40.639858,-73.893849
"FP","Food Pantry","No","No","No","No","CHRIST & ST. STEPHEN'S FOOD PROGRAM","120 WEST 69TH STREET","120 WEST 69TH STREET","MANHATTAN","10023","MON-FRI","On site SNAP services provided by organization","-73.981068,40.775649","1011400040",40.775649,-73.981068
"FP","Food Pantry","No","No","No","No","CHRIST ABUNDANT LIFE MINISTRIES","121 GRANDVIEW AVENUE","121 GRANDVIEW AVENUE","STATEN ISLAND","10303","THUR","HRA provides SNAP outreach materials for distribution and posting","-74.164776,40.636448","5012550045",40.636448,-74.164776
"FP","Food Pantry","No","No","No","No","CHRIST APOSTOLIC CHURCH GOKE FOOD PANTRY","622 CORTELYOU ROAD","622 CORTELYOU ROAD","BROOKLYN","11218","TUE(1,3)/SAT(2,4)","HRA provides SNAP outreach materials for distribution and posting","-73.972146,40.63838","3053900010",40.63838,-73.972146
"FP","Food Pantry","No","No","No","No","CHRIST APOSTOLIC CHURCH OF AMERICA, INC","108-02 SUTPHIN BLVD","108-02 SUTPHIN BLVD","QUEENS","11435","SAT","On site SNAP prescreening services/refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)","-73.799505,40.692814","4119460119",40.692814,-73.799505
"FP","Food Pantry","No","No","No","No","CHRIST DISCIPLES INTERNATIONAL MINISTRIES","3021-31 WEBSTER AVENUE","3021 WEBSTER AVENUE","BRONX","10467","WED,FRI,SAT","HRA provides SNAP outreach materials for distribution and posting. Organization refers clients to POS site (POTS) for SNAP services.","-73.879499,40.869911","2033310080",40.869911,-73.879499
"FP","Food Pantry","No","No","No","No","CHRIST JESUS BAPTIST CHURCH","456 EAST 168TH STREET","456 EAST 168TH STREET","BRONX","10462","WED","On site prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.907393,40.831386","2023890027",40.831386,-73.907393
"FP","Food Pantry","No","No","No","No","CHRISTIAN CULTURAL CENTER","1400 LINDEN BLVD","1400 LINDEN BLVD","BROOKLYN","11212","THUR","On site prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.908318,40.654144","3036420022",40.654144,-73.908318
"FP","Food Pantry","No","No","No","No","CHRISTIAN PENTACOSTAL CHURCH","900 RICHMOND ROAD","900 RICHMOND ROAD","STATEN ISLAND","10304","TUE/WED","HRA provides SNAP outreach materials for distribution and posting","-74.09201,40.604843","5031680039",40.604843,-74.09201
"FP","Food Pantry","No","No","No","No","CHURCH AVENUE MERCHANTS BLOCK ASSOC., INC/CAMBA FOOD PANTRY","21 SNYDER AVENUE","21 SNYDER AVENUE","BROOKLYN","11226","TUE, THUR(1,2,3,4)","Refers SNAP applicants to another CAMBA location","-73.957728,40.649046","3051030008",40.649046,-73.957728
"FP","Food Pantry","No","No","No","No","CHURCH OF GOD (BK)","627-29 REMSEN AVE","627 REMSEN AVE","BROOKLYN","11236","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.918365,40.651702","3047110012",40.651702,-73.918365
"FP","Food Pantry","No","No","No","No","CHURCH OF GOD FEEDING THE HUNGRY","836 CLASSON AVE","836 CLASSON AVE","BROOKLYN","11238","THUR","HRA provides SNAP outreach materials for distribution and posting","-73.961192,40.67242","3011770038",40.67242,-73.961192
"FP","Food Pantry","No","No","No","No","CHURCH OF GOD OF SALVATION","1615 NOSTRAND AVE","1615 NOSTRAND AVE","BROOKLYN","11226","TUE,THUR","HRA provides SNAP outreach materials for distribution and posting","-73.948885,40.646662","3049150063",40.646662,-73.948885
"FP","Food Pantry","No","No","No","No","CHURCH OF GOD SEVENTH DAY PENTECOSTAL","922 ST. MARKS AVE","922 ST. MARKS AVE","BROOKLYN","11213","TUE","HRA provides SNAP outreach materials for distribution and posting","-73.941555,40.674495","3012300009",40.674495,-73.941555
"FP","Food Pantry","No","No","No","No","CHURCH OF GOD, INC.","1011 WINTHROP STREET","1011 WINTHROP STREET","BROOKLYN","11212","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.926142,40.660275","3046100045",40.660275,-73.926142
"FP","Food Pantry","No","No","No","No","CHURCH OF PRAISE AND WORSHIP GOD IN CHRIST","526 RALPH AVENUE","526 RALPH AVENUE","BROOKLYN","11233","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.922554,40.671419","3013750046",40.671419,-73.922554
"FP","Food Pantry","No","No","No","No","CHURCH OF ST. FRANCES OF ROME","4330 BYRON AVENUE","4330 BYRON AVENUE","BRONX","10466","FRI(EVY OTH-SEE FILE)","HRA provides SNAP outreach materials for distribution and posting/ refers applicants to Community Board12 where HRA manages a SNAP POS site","-73.85396,40.895556","2050450008",40.895556,-73.85396
"FP","Food Pantry","No","No","No","No","CHURCH OF ST. NICHOLAS OF TOLENTINE","2345 UNIVERSITY AVE (BASEMENT FORDHAM RD ENT.)","2345 UNIVERSITY AVE","BRONX","10468","WED","HRA provides SNAP outreach materials for distribution and posting","-73.905735,40.862209","2032180035",40.862209,-73.905735
"FP","Food Pantry","No","No","No","No","CHURCH OF THE ATONEMENT FOOD PANTRY","1344 BEACH AVENUE","1344 BEACH AVENUE","BRONX","10472","SAT (2,4)","HRA provides SNAP outreach materials for distribution and posting","-73.866203,40.833397","2038770030",40.833397,-73.866203
"FP","Food Pantry","No","No","No","No","CHURCH OF THE VILLAGE UNITED METHODIST CHURCH","201 WEST 13TH STREET","201 WEST 13TH STREET","MANHATTAN","10011","TUE","HRA provides SNAP outreach materials for distribution and posting","-74.00039,40.738158","1006180040",40.738158,-74.00039
"SK","Soup Kitchen","No","No","No","No","CHURCH OF THE VILLAGE UNITED METHODIST CHURCH","201 WEST 13TH STREET","201 WEST 13TH STREET","MANHATTAN","10011","SAT","HRA provides SNAP outreach materials for distribution and posting/ on site SNAP services by APICHA last two TUESDAYS OF MONTH","-74.00039,40.738158","1006180040",40.738158,-74.00039
"FPM","Food Pantry","Yes","No","No","No","CITY HARVEST - ASTORIA MOBILE MARKET","7-1 ASTORIA BLVD","4-25 ASTORIA BLVD","QUEENS","11102","THUR(3),SAT(1)","HRA provides SNAP outreach materials for distribution and posting","-73.932878,40.77307","4004900101",40.77307,-73.932878
"FPM","Food Pantry","Yes","No","No","No","CITY HARVEST - BED-STUY MOBILE MARKET","736 PARK AVENUE","736 PARK AVENUE","BROOKLYN","11206","WED(3),SAT(1)","HRA provides SNAP outreach materials for distribution and posting","-73.945954,40.697553","3017400001",40.697553,-73.945954
"FPM","Food Pantry","Yes","No","No","No","CITY HARVEST - MARINER'S HARBOR MOBILE MARKET","22 ROXBURY STREET","22 ROXBURY STREET","STATEN ISLAND","10303","WED(1),SAT(3)","HRA provides SNAP outreach materials for distribution and posting","-74.162751,40.632904","5012450001",40.632904,-74.162751
"FPM","Food Pantry","Yes","No","No","No","CITY HARVEST - MELROSE MOBILE MARKET","286 EAST 156TH STREET","286 EAST 156TH STREET","BRONX","10451","WED(4),SAT(2)","HRA provides SNAP outreach materials for distribution and posting","-73.920295,40.821713","2024130001",40.821713,-73.920295
"FPM","Food Pantry","Yes","No","No","No","CITY HARVEST - ST. MARY'S MOBILE MARKET","595 TRINITY AVENUE","595 TRINITY AVENUE","BRONX","10455","TUE(4),SAT(2)","HRA provides SNAP outreach materials for distribution and posting","-73.909813,40.81521","2026230135",40.81521,-73.909813
"FPM","Food Pantry","Yes","No","No","No","CITY HARVEST - STAPLETON MOBILE MARKET","75 HILL STREET","75 HILL STREET","STATEN ISLAND","10304","TUE(1),SAT(3)","HRA provides SNAP outreach materials for distribution and posting","-74.080643,40.622275","5005450100",40.622275,-74.080643
"FPM","Food Pantry","Yes","No","No","No","CITY HARVEST MOBILE MARKET - DYCKMAN HOUSES","177 NAGLE AVENUE","177 NAGLE AVENUE","MANHATTAN","10034","WED(2),SAT(4)","HRA provides SNAP outreach materials for distribution and posting","-73.924123,40.861169","1022160001",40.861169,-73.924123
"FPM","Food Pantry","Yes","No","No","No","CITY HARVEST MOBILE MARKET - PRINCE HILL","454 WEST 155TH STREET","454 WEST 155TH STREET","MANHATTAN","10032","THU(2),SAT(4)","HRA provides SNAP outreach materials for distribution and posting","-73.941933,40.830826","1020680071",40.830826,-73.941933
"FPM","Food Pantry","Yes","No","No","No","CITY HARVEST MOBILE MARKET - QUEENSBRIDGE HOUSES","10-25 41ST AVE","10-25 41ST AVE","QUEENS","11101","TUE(2),SAT (4)","New site, Coordinating future SNAP outreach services","-73.944514,40.755604","4004700100",40.755604,-73.944514
"FP","Food Pantry","No","No","No","No","CITY OF FAITH CHURCH OF GOD","3445-3453 WHITE PLAINS ROAD","3445 WHITE PLAINS ROAD","BRONX","10467","TUE","HRA provides SNAP outreach materials for distribution and posting/ APICA Provides SNAP SERVICES last two TUESAYS of the month","-73.867434,40.876662","2046280047",40.876662,-73.867434
"SKM","Soup Kitchen","Yes","No","No","No","COALITION FOR THE HOMELESS","108 EAST 51ST STREET","108 EAST 51ST STREET","MANHATTAN","10022","MON-FRI","On site SNAP prescreening services/refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)","-73.973002,40.757214","1013050001",40.757214,-73.973002
"FP","Food Pantry","No","No","No","No","COMMUNITY ALLIANCE INITIATIVE","60-85 MYRTLE AVENUE","60-85 MYRTLE AVENUE","QUEENS","11385","WED","SNAP outreach provided by on site staff","-73.895277,40.70094","4035380051",40.70094,-73.895277
"FP","Food Pantry","No","No","No","No","COMMUNITY HEALTH ACTION OF STATEN ISLAND","2134 RICHMOND TERRACE","2134 RICHMOND TERRACE","STATEN ISLAND","10302","WED/FRI/SAT","HRA maintains oversight of  SNAP POS site:  SNAP prescreening and electronic submissionof of SNAP application and documents/ EASY ACCESS (for SNAP documents) site","-74.134343,40.640055","5010740053",40.640055,-74.134343
"FPM","Food Pantry","Yes","No","No","No","COMMUNITY HEALTH ACTION OF STATEN ISLAND","2134 RICHMOND TERRACE","2134 RICHMOND TERRACE","STATEN ISLAND","10302","SEE FILE","HRA provides SNAP outreach materials for distribution and posting","-74.134343,40.640055","5010740053",40.640055,-74.134343
"FP","Food Pantry","No","No","No","No","COMMUNITY IMPACT","616 WEST 114TH STREET","616 WEST 114TH STREET","MANHATTAN","10025","MON,THUR","SNAP services provided by on site staff","-73.965885,40.806947","1018950067",40.806947,-73.965885
"FP","Food Pantry","No","No","No","No","COMMUNITY LEAGUE OF THE HEIGHTS","508 WEST 159TH STREET","508 WEST 159TH STREET","MANHATTAN","10032","WED,SAT","HRA provides SNAP outreach materials for distribution and posting","-73.941863,40.834276","1021170031",40.834276,-73.941863
