"ID","TYPE","PROGRAM","PHONE","DISTADD","DISTBORO","DISTZIP","DAYS","mobile","HIV","kosher","halal","type_clean","type1","type2","count","addr","coords","bbl","lat","lon"
82296,"FP","CHURCH OF GOD ","718 346-4897","627-29 REMSEN AVE ","BROOKLYN",11236,"SAT 1-2:30PM","No","No","No","No","Food Pantry","Food Pantry","",1,"627 REMSEN AVE","-73.918365,40.651702","3047110012",40.651702,-73.918365
82119,"FP","CHURCH OF GOD FEEDING THE HUNGRY ","718-230-5955","836 CLASSON AVE ","BROOKLYN",11238,"THUR 10AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"836 CLASSON AVE","-73.961192,40.67242","3011770038",40.67242,-73.961192
87341,"FP","CHURCH OF GOD OF SALVATION ","718 941-8195","1615 NOSTRAND AVE ","BROOKLYN",11226,"TUE,THUR 9-11AM","No","No","No","No","Food Pantry","Food Pantry","",1,"1615 NOSTRAND AVE","-73.948885,40.646662","3049150063",40.646662,-73.948885
84944,"FP","CHURCH OF GOD SEVENTH DAY PENTECOSTAL ","718 221-9718","922 ST. MARKS AVE ","BROOKLYN",11213,"TUE 3-6PM","No","No","No","No","Food Pantry","Food Pantry","",1,"922 ST. MARKS AVE","-73.941555,40.674495","3012300009",40.674495,-73.941555
84002,"FP","CHURCH OF GOD, INC. ","718 493-3031","1011 WINTHROP STREET ","BROOKLYN",11212,"SAT 2-3PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1011 WINTHROP STREET","-73.926142,40.660275","3046100045",40.660275,-73.926142
85293,"FP","CHURCH OF PRAISE AND WORSHIP GOD IN CHRIST ","347-462-5679","526 RALPH AVENUE ","BROOKLYN",11233,"SAT 12:30-2:30PM","No","No","No","No","Food Pantry","Food Pantry","",1,"526 RALPH AVENUE","-73.922554,40.671419","3013750046",40.671419,-73.922554
85351,"FPM","CITY HARVEST - BED-STUY MOBILE MARKET ","646-412-0740","736 PARK AVENUE ","BROOKLYN",11206,"WED(3),SAT(1) 9:30-11:30AM","Yes","No","No","No","Food Pantry","Food Pantry Mobile","M",1,"736 PARK AVENUE","-73.945954,40.697553","3017400001",40.697553,-73.945954
80236,"SK","COMMUNITY HELP IN PARK SLOPE INC ","718 237-2962","200 4TH AVENUE ","BROOKLYN",11217,"MON-SAT 12-1:30PM","No","No","No","No","Soup Kitchen","Soup Kitchen","",1,"200 4TH AVENUE","-73.982847,40.678335","3004270046",40.678335,-73.982847
84189,"FP","COMMUNITY SERVICES HOUSING DEVELOPMENT CORP. ","646-794-5961","547 HOWARD AVE ","BROOKLYN",11233,"THUR 10AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"547 HOWARD AVE","-73.919681,40.669003","3014760009",40.669003,-73.919681
82837,"FP","COMPASSION HOUSE COMMUNITY DEVELOPMENT CORPORATION ","718 386-8151","43 GEORGE STREET ","BROOKLYN",11206,"TUE,THUR (1,3) 9-11:30AM","No","No","No","No","Food Pantry","Food Pantry","",1,"43 GEORGE STREET","-73.931918,40.701207","3031530031",40.701207,-73.931918
85468,"FP","COPO FOOD PANTRY ","718-434-3266","1077 CONEY ISLAND AVENUE ","BROOKLYN",11230,"FRI(1st RESPOND/SR)/FRI 10:30A-12:30P/1:30-4:40P","No","No","No","No","Food Pantry","Food Pantry","",1,"1077 CONEY ISLAND AVENUE","-73.966217,40.631332","3066860079",40.631332,-73.966217
82057,"FP","CORNERSTONE SEVENTH DAY ADVENTIST CHURCH ","718 483-9753","138 PENNSYLVANIA AVE ","BROOKLYN",11207,"THUR 10AM-12PM","No","No","No","No","Both","Food Pantry","",2,"138 PENNSYLVANIA AVE","-73.896943,40.67449","3036860034",40.67449,-73.896943
80260,"FPK"," CROWN HEIGHTS JEWISH COMMUNITY COUNCIL ","718-771-9000","899 MONTGOMERY STREET ","BROOKLYN",11213,"WED 1:30-3PM","No","No","Yes","No","Food Pantry","Food Pantry Kosher","K",1,"899 MONTGOMERY STREET","-73.934987,40.664761","3014180049",40.664761,-73.934987
85539,"FP","DIVINE INTERVENTION INSTITUTE INC ","516-655-6282","2070 FLATBUSH AVENUE ","BROOKLYN",11234,"MON-THUR 11AM-3PM","No","No","No","No","Food Pantry","Food Pantry","",1,"2070 FLATBUSH AVENUE","-73.933512,40.619184","3078660065",40.619184,-73.933512
84137,"FP","EAST NEW YORK WESLEYAN CHURCH/NEW HOPE FAMILY WORSHIP ","718-342-1305","817 LIVONIA AVENUE","BROOKLYN",11207,"SAT 11AM - 2PM","No","No","No","No","Food Pantry","Food Pantry","",1,"817 LIVONIA AVENUE","-73.886331,40.666151","3040760001",40.666151,-73.886331
80269,"FP","EBENEZER SEVENTH DAY ADVENTIST CHURCH ","718 778-7900","1234 EAST NEW YORK AVENUE ","BROOKLYN",11212,"WED 10:30AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1234 EAST NEW YORK AVENUE","-73.921341,40.667478","3035100033",40.667478,-73.921341
85553,"FP","ELIM RESTORATION CHURCH OF GOD ","347-406-5878","188 EAST 53RD STREET ","BROOKLYN",11203,"TUE 1-5PM","No","No","No","No","Food Pantry","Food Pantry","",1,"188 EAST 53RD STREET","-73.928036,40.655304","3046580010",40.655304,-73.928036
81479,"FP","EMMAUS SDA CHURCH ","718-287-2121","1144 FLATBUSH AVENUE ","BROOKLYN",11226,"TUE 12-3PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1144 FLATBUSH AVENUE","-73.957907,40.64238","3051640034",40.64238,-73.957907
85550,"FP","EVANGELICAL CRUSADE FOOD PANTRY ","718-484-8684","557 EAST 31ST STREET ","BROOKLYN",11210,"TUE,THUR 4-6PM","No","No","No","No","Food Pantry","Food Pantry","",1,"557 EAST 31ST STREET","-73.94683,40.637295","3049950020",40.637295,-73.94683
85562,"FP","F.A.R.M. HARVEST INITIATIVE ","347-605-0386","1432 PITKIN AVENUE ","BROOKLYN",11233,"MON,WED 11AM-3PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1432 PITKIN AVENUE","-73.92073,40.668202","3014770038",40.668202,-73.92073
83445,"FP","FAITH CENTER FOR HUMAN SERVICES, INC ","646-431-9729","1014-18 GATES AVENUE ","BROOKLYN",11221,"SAT 9:30AM-12PM","No","No","No","No","Both","Food Pantry","",2,"1014 GATES AVENUE","-73.92281,40.689178","3014800019",40.689178,-73.92281
83616,"FP","FAMILY LIFE DEVELOPMENT CENTER ","718 636-4938","1476 BEDFORD AVE ","BROOKLYN",11216,"MON 4-6PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1476 BEDFORD AVE","-73.954581,40.672947","3012380044",40.672947,-73.954581
81578,"FP","FAMILY SERVICE NETWORK OF N.Y. INC ","718-455-6010","1420 BUSHWICK AVENUE ","BROOKLYN",11207,"MON,WED 9AM-1PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1420 BUSHWICK AVENUE","-73.909047,40.683993","3034440022",40.683993,-73.909047
83444,"FP","FERNANDE VALME' MINISTRIES INC ","718 284-1809","1120 FLATBUSH AVE ","BROOKLYN",11226,"THUR 10-11AM","No","No","No","No","Food Pantry","Food Pantry","",1,"1120 FLATBUSH AVE","-73.958052,40.643106","3051640022",40.643106,-73.958052
82347,"FP","FLATBUSH SDA CHURCH ","718-693-9180","261 EAST 21ST STREET ","BROOKLYN",11226,"MON 11AM-1PM","No","No","No","No","Food Pantry","Food Pantry","",1,"261 EAST 21ST STREET","-73.959078,40.648065","3051020073",40.648065,-73.959078
82188,"FP","FOOD FIRST, INC ","718 624-1950","165 CONOVER STREET ","BROOKLYN",11231,"SAT 9-11:30AM","No","No","No","No","Food Pantry","Food Pantry","",1,"165 CONOVER STREET","-74.013613,40.678266","3005650001",40.678266,-74.013613
84151,"FP","GETHSEMANE SDA CHURCH ","718-467-4181","357 EMPIRE BLVD ","BROOKLYN",11225,"SUN/WED 12-1PM/5-6PM","No","No","No","No","Food Pantry","Food Pantry","",1,"357 EMPIRE BLVD","-73.950035,40.664236","3013090138",40.664236,-73.950035
83907,"FP","GLOVER MEMORIAL BREAD OF LIFE FOOD PANTRY ","347-432-3065","2134 DEAN STREET ","BROOKLYN",11233,"THUR 9-11AM","No","No","No","No","Food Pantry","Food Pantry","",1,"2134 DEAN STREET","-73.91703,40.674909","3014460036",40.674909,-73.91703
80284,"FP","GOD'S BATTALION OF PRAYER CHURCH ","718 774-5447","661 LINDEN BOULEVARD ","BROOKLYN",11203,"TUE,WED,THUR 9AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"661 LINDEN BOULEVARD","-73.933919,40.65389","3048670025",40.65389,-73.933919
83282,"FP","GOD'S DELIVERANCE TEMPLE, INC ","347-234-3828","438 RALPH AVENUE ","BROOKLYN",11233,"TUE(1,3) 11AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"438 RALPH AVENUE","-73.92235,40.674179","3013570051",40.674179,-73.92235
84738,"FP","GOOD NEWS DELIVERANCE TABERNACLE ","718 235-0065","442 CLEVELAND STREET ","BROOKLYN",11208,"SAT 11AM-1PM","No","No","No","No","Food Pantry","Food Pantry","",1,"442 CLEVELAND STREET","-73.88448,40.673896","3040000128",40.673896,-73.88448
85083,"FP","GREENPOINT REFORMED CHURCH FOOD PANTRY ","718-383-5941","136 MILTON STREET ","BROOKLYN",11222,"THUR 4-7PM","No","No","No","No","Food Pantry","Food Pantry","",1,"136 MILTON STREET","-73.954973,40.729186","3025660032",40.729186,-73.954973
84456,"FP","HANNAH KOSHER FOODS ","347-374-5473","2102 AVENUE T ","BROOKLYN",11229,"WED 9AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"2102 AVENUE T","-73.950544,40.601516","3073260001",40.601516,-73.950544
80289,"FP","HANSON PLACE SEVENTH DAY ADVENTIST CHURCH ","718 399-7513","150 SOUTH PORTLAND AVENUE ","BROOKLYN",11217,"THUR 2-5PM","No","No","No","No","Food Pantry","Food Pantry","",1,"150 SOUTH PORTLAND AVENUE","-73.974376,40.684903","3020030037",40.684903,-73.974376
85477,"FP","HEALTH ESSENTIAL ASSOCIATION CPMM ","646-515-6898","2336 86TH STREET ","BROOKLYN",11214,"THUR (1,3) 10AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"2336 86TH STREET","-73.990846,40.59978","3068620038",40.59978,-73.990846
85315,"FP","HEALTH ESSENTIAL ASSOCIATION INC ","646-515-6898","2101 EAST 16TH STREET - 2ND FLOOR ","BROOKLYN",11229,"FRI 10AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"2101 EAST 16TH STREET","-73.955217,40.598713","3073490001",40.598713,-73.955217
85512,"FP","HEBREW EDUCATIONAL SOCIETY ","718-241-3000","9502 SEAVIEW AVENUE ","BROOKLYN",11236,"MON-THUR 9AM-2PM","No","No","No","No","Food Pantry","Food Pantry","",1,"9502 SEAVIEW AVENUE","-73.890725,40.632584","3083180008",40.632584,-73.890725
80291,"FP","HEBRON SDA CHURCH ","718 778-6454","1256 DEAN STREET ","BROOKLYN",11216,"WED(1,3) 9-10:30AM","No","No","No","No","Both","Food Pantry","",2,"1256 DEAN STREET","-73.94749,40.676509","3012130037",40.676509,-73.94749
85289,"FP","HOLDING HANDS MINISTRIES ","347-400-5314","6324 7TH AVENUE ","BROOKLYN",11220,"SAT 8AM-1PM","No","No","No","No","Food Pantry","Food Pantry","",1,"6324 7TH AVENUE","-74.014097,40.634934","3058020057",40.634934,-74.014097
80296,"FP","HOLY CROSS FOOD PANTRY - BROOKLYN ","718 469-5900","2530 CHURCH AVENUE ","BROOKLYN",11226,"TUE,THUR 2-3:30PM","No","No","No","No","Food Pantry","Food Pantry","",1,"2530 CHURCH AVENUE","-73.953523,40.65036","3051040053",40.65036,-73.953523
82905,"FP","HOLY INNOCENTS ","718-469-9500","279 EAST 17TH STREET ","BROOKLYN",11226,"WED,FRI 8AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"279 EAST 17TH STREET","-73.96267,40.64409","3051480062",40.64409,-73.96267
84087,"FP","HOPE CENTER DEVELOPMENT CORPORATION ","718 385-1043","414 EAST 95TH STREET ","BROOKLYN",11212,"SAT(1,2,3,4) 11AM-1:30PM","No","No","No","No","Food Pantry","Food Pantry","",1,"414 EAST 95TH STREET","-73.918711,40.656974","3046690068",40.656974,-73.918711
83941,"SK","HOPE CENTER DEVELOPMENT CORPORATION ","718 385-1043","409 EAST 95TH STREET ","BROOKLYN",11212,"SAT(1,2,3,4) 11AM-1:30PM","No","No","No","No","Soup Kitchen","Soup Kitchen","",1,"409 EAST 95TH STREET","-73.918381,40.657237","3046700015",40.657237,-73.918381
80299,"FP","HOREB SDA COMMUNITY SERVICES ","718-778-7373","520 KINGSTON AVE ","BROOKLYN",11225,"MON 12-2PM","No","No","No","No","Food Pantry","Food Pantry","",1,"520 KINGSTON AVE","-73.943014,40.661034","3047980039",40.661034,-73.943014
85479,"FP","ICNA RELIEF USA FOOD PANTRY ","718-658-2028","273 NEPTUNE AVENUE ","BROOKLYN",11235,"MON 11AM-3PM","No","No","No","No","Food Pantry","Food Pantry","",1,"273 NEPTUNE AVENUE","-73.963482,40.581413","3072620004",40.581413,-73.963482
83275,"FP","IMMANUEL FIRST SPANISH UNITED METHODIST CHURCH ","718-624-3300","424 DEAN STREET ","BROOKLYN",11217,"TUE 1-2:45PM","No","No","No","No","Food Pantry","Food Pantry","",1,"424 DEAN STREET","-73.977239,40.682115","3009300032",40.682115,-73.977239
84103,"FP","INTERNATIONAL PENTECOSTAL CITY MISSION ","718 342-9005","9202-14 CHURCH AVE ","BROOKLYN",11236,"SAT 11AM-1PM","No","No","No","No","Food Pantry","Food Pantry","",1,"9202 CHURCH AVE","-73.917946,40.65376","3047130036",40.65376,-73.917946
83583,"FP","ISAIAH'S TEMPLE OF MT. HOPE ","718 277-4038","862 GLENMORE AVE ","BROOKLYN",11208,"THUR 2-4PM","No","No","No","No","Both","Food Pantry","",2,"862 GLENMORE AVE","-73.878158,40.675607","3040080013",40.675607,-73.878158
81168,"FPK"," JEWISH COMMUNITY COUNCIL OF CANARSIE #1","718-922-2474","1170 PENNSYLVANIA AVE ","BROOKLYN",11239,"WED 9-11AM","No","No","Yes","No","Food Pantry","Food Pantry Kosher","K",1,"1170 PENNSYLVANIA AVE","-73.885804,40.651464","3044340060",40.651464,-73.885804
85442,"FP","KINGLAWN UNITED PRESBYTERIAN CHURCH ","718-241-0736","2368 RALPH AVENUE ","BROOKLYN",11234,"SAT(2,4) 10-11AM","No","No","No","No","Food Pantry","Food Pantry","",1,"2368 RALPH AVENUE","-73.917699,40.620301","3078840071",40.620301,-73.917699
80249,"FPK"," KINGS BAY Y FOOD PANTRY ","718-648-7703","3495 NOSTRAND AVENUE ","BROOKLYN",11229,"MON/FRI 11AM-3PM/11AM-1PM","No","No","Yes","No","Food Pantry","Food Pantry Kosher","K",1,"3495 NOSTRAND AVENUE","-73.941226,40.598856","3073630036",40.598856,-73.941226
85566,"FP","LADIES IN WAITING ","718-469-8816","276 FENIMORE STREET ","BROOKLYN",11225,"TUE 10AM-1PM","No","No","No","No","Food Pantry","Food Pantry","",1,"276 FENIMORE STREET","-73.953547,40.658284","3050430048",40.658284,-73.953547
83936,"FP","LAS MARAVILLAS DEL EXODO ","718 235-4801","302 ELTON STREET ","BROOKLYN",11208,"WED 9AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"302 ELTON STREET","-73.884169,40.675809","3039850020",40.675809,-73.884169
85262,"FP","LITTLE JERUSALEM HOUSE OF PRAYER ","718-922-7446","447 HERZL STREET ","BROOKLYN",11212,"SAT (2,4) 1-2PM","No","No","No","No","Food Pantry","Food Pantry","",1,"447 HERZL STREET","-73.912562,40.658956","3035980005",40.658956,-73.912562
83811,"FP","MAKE THE ROAD NEW YORK ","718 418-7690","301 GROVE STREET ","BROOKLYN",11237,"MON,FRI(APPT ONLY) 9:30AM-2:30PM","No","No","No","No","Food Pantry","Food Pantry","",1,"301 GROVE STREET","-73.915886,40.698462","3033170041",40.698462,-73.915886
85338,"FP","MAMRE ENRICHMENT PROGRAM ","646-617-8775","1623 UTICA AVENUE ","BROOKLYN",11234,"WED(3),SUN(1ST) 10AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1623 UTICA AVENUE","-73.927983,40.632636","3077540041",40.632636,-73.927983
85200,"FPK"," MASBIA OF FLATBUSH ","718-972-4446","1372 CONEY ISLAND AVE ","BROOKLYN",11230,"M-F/SUN-THUR 12AM-5AM/3-11:59PM","No","No","Yes","No","Both","Food Pantry Kosher","K",2,"1372 CONEY ISLAND AVE","-73.965393,40.624045","3065310016",40.624045,-73.965393
85215,"FP","METRO MINISTRIES INTERNATIONAL ","718-453-3352","871 BUSHWICH AVENUE ","BROOKLYN",11221,"WED,THUR,FRI 10AM-3PM","No","No","No","No","Food Pantry","Food Pantry","",1,"871 BUSHWICK AVENUE","-73.925017,40.694041","3032740001",40.694041,-73.925017
85086,"FPK"," METROPOLITAN COUNCIL ON JEWISH POVERTY ","718-763-5318","5361 PRESTON COURT ","BROOKLYN",11234,"TUE/THUR 1-3PM/10AM-12PM","No","No","Yes","No","Food Pantry","Food Pantry Kosher","K",1,"5361 PRESTON COURT","-73.923521,40.639461","3079490204",40.639461,-73.923521
83608,"FP","MORE GRACE REDEMPTIVE CENTER ","718 693-7074","11 WOODS PLACE ","BROOKLYN",11226,"TUE 11AM-1PM","No","No","No","No","Food Pantry","Food Pantry","",1,"11 WOODS PLACE","-73.954578,40.650138","3051040110",40.650138,-73.954578
85476,"FP","MOUNT CARMEL WORSHIP AND OUTREACH CENTER ","347-627-2226","784 EAST 46TH STREET ","BROOKLYN",11203,"MON SR/APPT ONLYAPPT 12-2PMONLY","No","No","No","No","Food Pantry","Food Pantry","",1,"784 EAST 46TH STREET","-73.933405,40.64212","3049620041",40.64212,-73.933405
81698,"FP","MOVEMENT OF PENTECOSTAL CHRISTIAN CHURCH ","718-253-1941","90-92 SUMMIT STREET ","BROOKLYN",11231,"SUN 12:30-2PM","No","No","No","No","Food Pantry","Food Pantry","",1,"90 SUMMIT STREET","-74.003612,40.682054","3003580012",40.682054,-74.003612
